,English Version,Label,News,Author,Date,Authenticity
0,Additional charge for users who share password: Netflix Paley plan,tech, பாஸ்வேர்டை பகிரும் பயனர்களிடம் கூடுதல் கட்டணம்: நெட்ஃப்ளிக்ஸ் பலே திட்டம்  ,செய்திப்பிரிவு,19-Oct-22,0
1,Production of 'AK-203' guns in India by the end of this year?,tech, இந்தியாவில் நடப்பு ஆண்டின் இறுதிக்குள் ‘ஏகே-203’ ரக துப்பாக்கிகள் தயாரிப்பு?   ,செய்திப்பிரிவு,18-Oct-22,0
2,Moto E22s smartphone launched in India at a budget price | Price &...,tech, பட்ஜெட் விலையில் மோட்டோ E22s ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை &...   ,செய்திப்பிரிவு,17-Oct-22,0
3,Let's make Kalam's last dream come true,tech, கலாம் கண்ட கடைசி கனவை நனவாக்குவோம்   ,செய்திப்பிரிவு,15-Oct-22,0
4,Redmi A1+ smartphone launched in India at a budget price | Price &...,tech, பட்ஜெட் விலையில் ரெட்மி ஏ1+ ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை &...   ,செய்திப்பிரிவு,14-Oct-22,0
5,Google Play Points Launch in India | Earn points by downloading:…,tech, கூகுள் பிளே பாயிண்ட்ஸ் இந்தியாவில் அறிமுகம் | டவுன்லோட் செய்தால் புள்ளிகள் பெறலாம்:...   ,எல்லுச்சாமி கார்த்திக்,13-Oct-22,0
6,Nokia G11 Plus Smartphone Launched in India: Price & Features,tech, நோக்கியா ஜி11 பிளஸ் ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம்: விலை & அம்சங்கள்   ,செய்திப்பிரிவு,12-Oct-22,0
7,A technical glitch on Facebook? - Users who lose a lot of followers,tech, ஃபேஸ்புக்கில் தொழில்நுட்ப கோளாறு? - ஃபாலோயர்களை அதிக அளவில் இழக்கும் பயனர்கள்   ,செய்திப்பிரிவு,12-Oct-22,0
8,5G Support in Mid-November on 5G Devices:  Samsung Info; Other companies...,tech, 5ஜி சாதனங்களில் நவம்பர் மத்தியில் 5ஜி சப்போர்ட்:  சாம்சங் தகவல்; பிற நிறுவனங்களின்...   ,எல்லுச்சாமி கார்த்திக்,12-Oct-22,0
9,Do you need a new SIM card to use 5G on your smartphone?,tech, ஸ்மார்ட்போனில் 5ஜி பயன்படுத்த புதிய சிம் கார்டு தேவையா?   ,செய்திப்பிரிவு,11-Oct-22,0
10,Apple Watch that detected pregnancy before the test: information shared by female users,tech, பரிசோதனைக்கு முன்னர் கர்ப்பத்தை கண்டறிந்த ஆப்பிள் வாட்ச்: பெண் பயனர் பகிர்ந்த தகவல்   ,செய்திப்பிரிவு,10-Oct-22,0
11,WhatsApp Paid Subscription Service: Currently available for use by beta users,tech, வாட்ஸ்அப் கட்டணச் சந்தா சேவை: இப்போதைக்கு பீட்டா பயனர்களின் பயன்பாட்டுக்கு கிடைக்க வாய்ப்பு   ,செய்திப்பிரிவு,10-Oct-22,0
12,Apps that steal users' Facebook passwords: Meta warning,tech, பயனர்களின் ஃபேஸ்புக் பாஸ்வேர்டை களவாடும் செயலிகள்: மெட்டா எச்சரிக்கை   ,செய்திப்பிரிவு,07-Oct-22,0
13,UPSC Launched Android App | What information can be obtained?,tech, ஆண்ட்ராய்டு செயலியை அறிமுகம் செய்த UPSC | என்னென்ன தகவல்களை பெறலாம்?   ,செய்திப்பிரிவு,07-Oct-22,0
14,Driverless Metro Train - Launching Soon in Chennai,tech, ஓட்டுநர்கள் இல்லா மெட்ரோ ரயில் - சென்னையில் விரைவில் அறிமுகம்   ,செய்திப்பிரிவு,06-Oct-22,0
15,When will BSNL launch 4G and 5G service in India? Released...,tech, இந்தியாவில் 4ஜி மற்றும் 5ஜி சேவையை பிஎஸ்என்எல் அறிமுகம் செய்வது எப்போது? வெளியான...   ,செய்திப்பிரிவு,05-Oct-22,0
16,"25,000 mobile towers in 500 days: Center allocates Rs 26,000 crore",tech," 500 நாட்களில் 25,000 மொபைல் டவர்கள்: ரூ.26,000 கோடியை ஒதுக்கியது மத்திய அரசு  ",செய்திப்பிரிவு,04-Oct-22,0
17,Oct. 4 | The great day when the world took the first step in space exploration:…,tech, அக்.4 | விண்வெளி ஆராய்ச்சியில் உலகம் முதல்படி எடுத்து வைத்த மகத்தான நாள்:...   ,எல்லுச்சாமி கார்த்திக்,04-Oct-22,0
18,"Rs 15,000 laptop: Reliance to launch soon",tech," ரூ.15,000 விலையில் லேப்டாப்: ரிலையன்ஸ் விரைவில் அறிமுகம்   ",செய்திப்பிரிவு,04-Oct-22,0
19,Affordable Lava Blaze 5G Smartphone: What Are the Special Features?,tech, மலிவு விலையில் லாவா பிளேஸ் 5ஜி ஸ்மார்போன்: சிறப்பு அம்சங்கள் என்னென்ன?   ,செய்திப்பிரிவு,03-Oct-22,0
20,Domestic Light Helicopters in Air Force: Special Features,tech, விமானப் படையில் இணைக்கப்பட்ட உள்நாட்டு இலகு ரக ஹெலிகாப்டர்கள்: சிறப்பு அம்சங்கள்   ,செய்திப்பிரிவு,03-Oct-22,0
21,Moto G72 smartphone launched in India | Price & Features,tech, மோட்டோ ஜி72 ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை & அம்சங்கள்   ,செய்திப்பிரிவு,03-Oct-22,0
22,Mangalyaan's journey has come to an end,tech, மங்கள்யான் விண்கலத்தின் பயணம் முடிவுக்கு வந்தது   ,செய்திப்பிரிவு,03-Oct-22,0
23,Jio for bringing 4G service in India fast: Airtel praises Ambani...,tech, இந்தியாவில் 4ஜி சேவையை வேகமாக கொண்டு சேர்த்தது ஜியோ: அம்பானியை பாராட்டிய ஏர்டெல்...   ,செய்திப்பிரிவு,03-Oct-22,0
24,Tesla robot waving at Elon Musk | Video,tech, எலான் மஸ்கை நோக்கி கையசைத்த டெஸ்லா ரோபோ | வீடியோ   ,செய்திப்பிரிவு,01-Oct-22,0
25,"BSNL to offer 5G service from August 15, 2023: Minister Ashwini...",tech, 2023 ஆகஸ்ட் 15 முதல் பிஎஸ்என்எல் 5ஜி சேவையை வழங்கும்: அமைச்சர் அஸ்வினி...   ,செய்திப்பிரிவு,01-Oct-22,0
26,PM Modi drives vehicle in Sweden from Delhi: Video,tech, ஸ்வீடனில் உள்ள வாகனத்தை டெல்லியில் இருந்து இயக்கிய பிரதமர் மோடி: வீடியோ   ,செய்திப்பிரிவு,01-Oct-22,0
27,5G Smartphones in India under Rs.15000,tech, இந்தியாவில் ரூ.15000-க்கும் குறைவான விலையில் கிடைக்கும் 5ஜி ஸ்மார்ட் போன்கள்   ,செய்திப்பிரிவு,01-Oct-22,0
28,Ready to provide 5G service - Delhi International Airport Information,tech, 5ஜி சேவையை வழங்க தயார் - டெல்லி சர்வதேச விமான நிலையம் தகவல்   ,செய்திப்பிரிவு,30-Sep-22,0
